acq_year,groupname,count
2011,apurinp do igarapt spo jopo,2
2018,apurinp do igarapt spo jopo,1
2019,apurinp do igarapt spo jopo,1
2005,apurinp igarapt tauamirim,1
2010,apurinp igarapt tauamirim,2
2017,apurinp igarapt tauamirim,2
2018,apurinp igarapt tauamirim,1
2019,apurinp igarapt tauamirim,2
2002,apurinp km br,10
2003,apurinp km br,36
2004,apurinp km br,11
2005,apurinp km br,38
2006,apurinp km br,19
2007,apurinp km br,20
2008,apurinp km br,13
2010,apurinp km br,25
2012,apurinp km br,24
2013,apurinp km br,8
2014,apurinp km br,7
2015,apurinp km br,7
2016,apurinp km br,27
2017,apurinp km br,14
2018,apurinp km br,10
2019,apurinp km br,13
2001,apyterewa,6
2002,apyterewa,287
2003,apyterewa,320
2004,apyterewa,617
2005,apyterewa,1140
2006,apyterewa,686
2007,apyterewa,574
2008,apyterewa,688
2009,apyterewa,247
2010,apyterewa,433
2011,apyterewa,50
2012,apyterewa,174
2013,apyterewa,28
2014,apyterewa,192
2015,apyterewa,230
2016,apyterewa,23
2017,apyterewa,650
2018,apyterewa,202
2019,apyterewa,421
2002,arara,7
2003,arara,6
2004,arara,12
2005,arara,8
2006,arara,15
2007,arara,11
2008,arara,9
2009,arara,13
2010,arara,3
2011,arara,12
2012,arara,1
2014,arara,8
2015,arara,10
2016,arara,1
2017,arara,11
2018,arara,3
2019,arara,1
2001,arara da volta grande do xingu,5
2002,arara da volta grande do xingu,2
2003,arara da volta grande do xingu,1
2004,arara da volta grande do xingu,8
2005,arara da volta grande do xingu,4
2006,arara da volta grande do xingu,13
2007,arara da volta grande do xingu,6
2008,arara da volta grande do xingu,13
2009,arara da volta grande do xingu,9
2010,arara da volta grande do xingu,9
2011,arara da volta grande do xingu,2
2012,arara da volta grande do xingu,4
2013,arara da volta grande do xingu,5
2015,arara da volta grande do xingu,3
2016,arara da volta grande do xingu,1
2017,arara da volta grande do xingu,5
2018,arara da volta grande do xingu,2
2002,arara do igarapt humaitß,2
2003,arara do igarapt humaitß,1
2004,arara do igarapt humaitß,1
2005,arara do igarapt humaitß,1
2006,arara do igarapt humaitß,3
2008,arara do igarapt humaitß,1
2009,arara do igarapt humaitß,1
2010,arara do igarapt humaitß,7
2011,arara do igarapt humaitß,1
2012,arara do igarapt humaitß,5
2013,arara do igarapt humaitß,3
2014,arara do igarapt humaitß,5
2015,arara do igarapt humaitß,2
2016,arara do igarapt humaitß,7
2017,arara do igarapt humaitß,4
2018,arara do igarapt humaitß,11
2019,arara do igarapt humaitß,5
2002,arara do rio amonia,7
