ACQ_YEAR,Name,n()
2007,Apiakß do Pontal e Isolados,51
2008,Apiakß do Pontal e Isolados,6
2009,Apiakß do Pontal e Isolados,8
2010,Apiakß do Pontal e Isolados,33
2011,Apiakß do Pontal e Isolados,9
2012,Apiakß do Pontal e Isolados,42
2014,Apiakß do Pontal e Isolados,29
2015,Apiakß do Pontal e Isolados,21
2016,Apiakß do Pontal e Isolados,20
2017,Apiakß do Pontal e Isolados,12
2018,Apiakß do Pontal e Isolados,8
2019,Apiakß do Pontal e Isolados,3
2000,ApinayT,1
2001,ApinayT,107
2002,ApinayT,155
2003,ApinayT,200
2004,ApinayT,221
2005,ApinayT,288
2006,ApinayT,172
2007,ApinayT,319
2008,ApinayT,164
2009,ApinayT,169
2010,ApinayT,354
2011,ApinayT,233
2012,ApinayT,231
2013,ApinayT,157
2014,ApinayT,257
2015,ApinayT,410
2016,ApinayT,129
2017,ApinayT,389
2018,ApinayT,59
2019,ApinayT,281
2001,Apipica,4
2002,Apipica,12
2003,Apipica,2
2004,Apipica,3
2005,Apipica,2
2006,Apipica,2
2007,Apipica,3
2010,Apipica,1
2011,Apipica,1
2012,Apipica,1
2014,Apipica,1
2015,Apipica,3
2016,Apipica,2
2000,Apucarana,3
2002,Apucarana,5
2003,Apucarana,9
2004,Apucarana,4
2005,Apucarana,2
2006,Apucarana,13
2007,Apucarana,5
2008,Apucarana,10
2009,Apucarana,1
2010,Apucarana,10
2011,Apucarana,3
2012,Apucarana,4
2013,Apucarana,1
2014,Apucarana,4
2015,Apucarana,1
2016,Apucarana,4
2017,Apucarana,7
2018,Apucarana,3
2019,Apucarana,5
2003,Apurinp do IgarapT Mucuim,1
2010,Apurinp do IgarapT Mucuim,2
2006,Apurinp do IgarapT Spo Jopo,1
2011,Apurinp do IgarapT Spo Jopo,2
2018,Apurinp do IgarapT Spo Jopo,1
2019,Apurinp do IgarapT Spo Jopo,1
2005,Apurinp IgarapT Tauamirim,1
2010,Apurinp IgarapT Tauamirim,2
2017,Apurinp IgarapT Tauamirim,2
2018,Apurinp IgarapT Tauamirim,1
2019,Apurinp IgarapT Tauamirim,2
2002,Apurinp Km 124 BR-317,10
2003,Apurinp Km 124 BR-317,36
2004,Apurinp Km 124 BR-317,11
2005,Apurinp Km 124 BR-317,38
2006,Apurinp Km 124 BR-317,19
2007,Apurinp Km 124 BR-317,20
2008,Apurinp Km 124 BR-317,13
2010,Apurinp Km 124 BR-317,25
2012,Apurinp Km 124 BR-317,24
2013,Apurinp Km 124 BR-317,8
2014,Apurinp Km 124 BR-317,7
2015,Apurinp Km 124 BR-317,7
2016,Apurinp Km 124 BR-317,27
2017,Apurinp Km 124 BR-317,14
2018,Apurinp Km 124 BR-317,10
2019,Apurinp Km 124 BR-317,13
2001,Apyterewa,6
2002,Apyterewa,287
2003,Apyterewa,320
2004,Apyterewa,617
2005,Apyterewa,1140
2006,Apyterewa,686
2007,Apyterewa,574
2008,Apyterewa,688
2009,Apyterewa,247
2010,Apyterewa,433
2011,Apyterewa,50
2012,Apyterewa,174
2013,Apyterewa,28
2014,Apyterewa,192
2015,Apyterewa,230
2016,Apyterewa,23
2017,Apyterewa,650
2018,Apyterewa,202
2019,Apyterewa,421
2002,Arara,7
2003,Arara,6
2004,Arara,12
2005,Arara,8
2006,Arara,15
2007,Arara,11
2008,Arara,9
2009,Arara,13
2010,Arara,3
2011,Arara,12
2012,Arara,1
2014,Arara,8
2015,Arara,10
2016,Arara,1
2017,Arara,11
2018,Arara,3
2019,Arara,1
2001,Arara da Volta Grande do Xingu,5
2002,Arara da Volta Grande do Xingu,2
2003,Arara da Volta Grande do Xingu,1
2004,Arara da Volta Grande do Xingu,8
2005,Arara da Volta Grande do Xingu,4
2006,Arara da Volta Grande do Xingu,13
2007,Arara da Volta Grande do Xingu,6
2008,Arara da Volta Grande do Xingu,13
2009,Arara da Volta Grande do Xingu,9
2010,Arara da Volta Grande do Xingu,9
2011,Arara da Volta Grande do Xingu,2
2012,Arara da Volta Grande do Xingu,4
2013,Arara da Volta Grande do Xingu,5
2015,Arara da Volta Grande do Xingu,3
2016,Arara da Volta Grande do Xingu,1
2017,Arara da Volta Grande do Xingu,5
2018,Arara da Volta Grande do Xingu,2
2002,Arara do IgarapT Humaitß,2
2003,Arara do IgarapT Humaitß,1
2004,Arara do IgarapT Humaitß,1
2005,Arara do IgarapT Humaitß,1
2006,Arara do IgarapT Humaitß,3
2008,Arara do IgarapT Humaitß,1
2009,Arara do IgarapT Humaitß,1
2010,Arara do IgarapT Humaitß,7
2011,Arara do IgarapT Humaitß,1
2012,Arara do IgarapT Humaitß,5
2013,Arara do IgarapT Humaitß,3
2014,Arara do IgarapT Humaitß,5
